text,label
el hidromasaje de la azotea no funciona bien por lo que solo es una bañera,3
"el servicio de habitaciones muy malo , y recepción regular .",3
"excesivamente caro , demasiado .",3
"la habitacion que nos dieron no me acabo de convencer , estoy acostumbrado a usar hoteles marriott ( y courtyard por supuesto ) y este quiza sea el mas cutre de todos los que haya ido",3
"lo que menos me gustó es que pese a ser de cuatro estrellas , tenía muchas carencias , por ejemplo , no disponía de piscina .",3
"el único inconveniente lo encontré en recepción , puesto en el cual los trabajadores no eran para nada amables , y es algo que sorprende , ya que generalmente suelen ser de lo mejor en todos os hoteles .",3
"el desayuno , self service que se hacía fuera del hotel pero en la misma calle ( nadie nos informó del lugar al llegar , tuvimos que buscarlo ) era exiguo : café malo , tostadas , algo de zumo y mermelada o mantequilla .",3
hotel regular en una zona bastante mala,3
pésimo hotel,3
hotel de paso situado cerca de un poligono industrial .,3
"como pega , las habitaciones no son muy distintas de las de otros hoteles , es decir , pagas más para tener una habitación de tamaño pequeño , con bañera normal y un televisor de tubo catódico",3
"me quedé en la villas en unas casa en donde hay que pagar más , la camarera pasa una vez al día a limpiar , no tiene posibiidad de ningún servicio en la habitación , pues queda muy lejor de los servicios del hotel ( piscinas , playa , restaurantes ) , hay que llamar a pedir un transporte hasta 3 veces para que se dignen llegar .",3
"lo único desfavorable , es sin duda alguna , la ubicación del hotel .",3
"nosotros contratamos un pack por la luna de miel y nada de lo que contratamos nos lo respetaron , ni cesta de frutas al llegar , ni internet en el pack que decia que si , la habitacion nada que ver con lo que nos ofertaron , es decir pagamos 280 euros mas por tener la pulserita roja en vez de azul pero nada de lo prometido despues ademas , hicimos mogollon de reclamaciones y ni caso hasta el dia de hoy , la operadora que trabajaba con el hotel fatal y la atención horrible.uno de los dias tuvieron que limpiar la piscina de lo sucia que estaba , los residentes alli se bañaban vestidos , etc , etc ......",3
las camas con los colchones hechos polvo .,3
"no hay espectáculos nocturnos , siempre son los de animación cantando .",3
